2024-06-09 20:42:08,788.bbq_producer.INFO ==================================================
2024-06-09 20:42:08,788.bbq_producer.INFO Today is 2024-06-09 at 08:42 PM
2024-06-09 20:42:08,788.bbq_producer.INFO Running on: posix Darwin 21.4.0
2024-06-09 20:42:08,788.bbq_producer.INFO Python version:  3.12.2
2024-06-09 20:42:08,788.bbq_producer.INFO Python path: /Library/Frameworks/Python.framework/Versions/3.12
2024-06-09 20:42:08,788.bbq_producer.INFO Working dir: /Users/olakunlealabi/Documents/streaming-05-smart-smoker-5
2024-06-09 20:42:08,788.bbq_producer.INFO ==================================================
2024-06-09 20:42:10,879.bbq_producer.INFO Opened RabbitMQ
2024-06-09 20:42:11,249.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:34:10', 103.5)
2024-06-09 20:42:11,261.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:34:15', 103.5)
2024-06-09 20:42:11,271.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:35:10', 105.3)
2024-06-09 20:42:11,280.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:35:15', 105.3)
2024-06-09 20:42:11,288.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:36:10', 106.9)
2024-06-09 20:42:11,297.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:36:15', 106.9)
2024-06-09 20:42:11,306.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:37:10', 111.9)
2024-06-09 20:42:11,317.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:37:15', 111.9)
2024-06-09 20:42:11,326.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:38:10', 114.2)
2024-06-09 20:42:11,336.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:38:15', 114.2)
2024-06-09 20:42:11,345.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:39:10', 115.5)
2024-06-09 20:42:11,357.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:39:15', 115.5)
2024-06-09 20:42:11,367.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:40:10', 112.6)
2024-06-09 20:42:11,378.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:40:15', 112.6)
2024-06-09 20:42:11,388.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:41:10', 118.8)
2024-06-09 20:42:11,397.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:41:15', 118.8)
2024-06-09 20:42:11,407.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:42:10', 113.2)
2024-06-09 20:42:11,417.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:42:15', 113.2)
2024-06-09 20:42:11,427.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:43:10', 126.7)
2024-06-09 20:42:11,438.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:43:15', 126.7)
2024-06-09 20:42:11,448.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:44:10', 130.0)
2024-06-09 20:42:11,459.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:44:15', 130.0)
2024-06-09 20:42:11,468.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:45:10', 130.0)
2024-06-09 20:42:11,479.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:45:15', 130.0)
2024-06-09 20:42:11,491.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:46:10', 137.3)
2024-06-09 20:42:11,502.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:46:15', 137.3)
2024-06-09 20:42:11,520.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:47:10', 139.5)
2024-06-09 20:42:11,544.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:47:15', 139.5)
2024-06-09 20:42:11,565.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:48:10', 141.8)
2024-06-09 20:42:11,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:48:15', 141.8)
2024-06-09 20:42:11,608.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:49:10', 143.6)
2024-06-09 20:42:11,628.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:49:15', 143.6)
2024-06-09 20:42:11,650.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:50:10', 145.0)
2024-06-09 20:42:11,674.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:50:15', 145.0)
2024-06-09 20:42:11,698.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:51:10', 146.2)
2024-06-09 20:42:11,724.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:51:15', 146.2)
2024-06-09 20:42:11,748.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:52:10', 147.5)
2024-06-09 20:42:11,772.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:52:15', 147.5)
2024-06-09 20:42:11,803.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:53:10', 148.7)
2024-06-09 20:42:11,825.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:53:15', 148.7)
2024-06-09 20:42:11,854.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:54:10', 149.9)
2024-06-09 20:42:11,880.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:54:15', 149.9)
2024-06-09 20:42:11,910.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:05', 151.1)
2024-06-09 20:42:11,930.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:10', 151.2)
2024-06-09 20:42:11,961.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:15', 151.2)
2024-06-09 20:42:11,988.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:56:10', 152.4)
2024-06-09 20:42:12,016.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:56:15', 152.4)
2024-06-09 20:42:12,043.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:57:10', 153.4)
2024-06-09 20:42:12,070.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:57:15', 153.4)
2024-06-09 20:42:12,098.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:58:10', 154.5)
2024-06-09 20:42:12,127.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:58:15', 154.5)
2024-06-09 20:42:12,153.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:59:10', 155.6)
2024-06-09 20:42:12,183.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:59:15', 155.6)
2024-06-09 20:42:12,210.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:00:10', 156.5)
2024-06-09 20:42:12,238.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:00:15', 156.5)
2024-06-09 20:42:12,265.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:01:10', 157.8)
2024-06-09 20:42:12,295.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:01:15', 157.8)
2024-06-09 20:42:12,328.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:02:10', 158.8)
2024-06-09 20:42:12,344.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:02:15', 158.8)
2024-06-09 20:42:12,361.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:03:10', 159.9)
2024-06-09 20:42:12,376.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:03:15', 159.9)
2024-06-09 20:42:12,399.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:04:10', 160.7)
2024-06-09 20:42:12,421.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:04:15', 160.7)
2024-06-09 20:42:12,447.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:05:10', 161.9)
2024-06-09 20:42:12,470.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:05:15', 161.9)
2024-06-09 20:42:12,488.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:06:10', 163.1)
2024-06-09 20:42:12,513.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:06:15', 163.1)
2024-06-09 20:42:12,535.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:07:10', 164.3)
2024-06-09 20:42:12,560.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:07:15', 164.3)
2024-06-09 20:42:12,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:08:10', 165.6)
2024-06-09 20:42:12,603.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:08:15', 165.6)
2024-06-09 20:42:12,630.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:09:10', 166.7)
2024-06-09 20:42:12,656.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:09:15', 166.7)
2024-06-09 20:42:12,683.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:10:10', 167.8)
2024-06-09 20:42:12,708.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:10:15', 167.8)
2024-06-09 20:42:12,729.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:11:10', 168.8)
2024-06-09 20:42:12,750.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:11:15', 168.8)
2024-06-09 20:42:12,775.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:12:10', 170.2)
2024-06-09 20:42:12,796.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:12:15', 170.2)
2024-06-09 20:42:12,815.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:13:10', 171.7)
2024-06-09 20:42:12,838.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:13:15', 171.7)
2024-06-09 20:42:12,862.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:14:10', 173.3)
2024-06-09 20:42:12,884.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:14:15', 173.3)
2024-06-09 20:42:12,906.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:15:10', 174.6)
2024-06-09 20:42:12,932.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:15:15', 174.6)
2024-06-09 20:42:12,957.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:16:10', 175.5)
2024-06-09 20:42:12,979.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:16:15', 175.5)
2024-06-09 20:42:12,999.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:17:10', 176.8)
2024-06-09 20:42:13,023.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:17:15', 176.8)
2024-06-09 20:42:13,040.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:18:10', 177.8)
2024-06-09 20:42:13,058.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:18:15', 177.8)
2024-06-09 20:42:13,084.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:19:10', 178.9)
2024-06-09 20:42:13,110.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:19:15', 178.9)
2024-06-09 20:42:13,132.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:20:10', 180.3)
2024-06-09 20:42:13,150.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:20:15', 180.3)
2024-06-09 20:42:13,171.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:21:10', 181.4)
2024-06-09 20:42:13,195.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:21:15', 181.4)
2024-06-09 20:42:13,216.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:22:10', 182.6)
2024-06-09 20:42:13,239.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:22:15', 182.6)
2024-06-09 20:42:13,262.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:23:10', 183.9)
2024-06-09 20:42:13,289.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:23:15', 183.9)
2024-06-09 20:42:13,314.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:24:10', 184.8)
2024-06-09 20:42:13,339.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:24:15', 184.8)
2024-06-09 20:42:13,364.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:25:10', 186.0)
2024-06-09 20:42:13,388.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:25:15', 186.0)
2024-06-09 20:42:13,409.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:26:10', 187.1)
2024-06-09 20:42:13,429.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:26:15', 187.1)
2024-06-09 20:42:13,450.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:27:10', 211.9)
2024-06-09 20:42:13,482.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:27:15', 211.9)
2024-06-09 20:42:13,504.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:28:10', 215.3)
2024-06-09 20:42:13,529.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:28:15', 215.3)
2024-06-09 20:42:13,553.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:29:10', 217.0)
2024-06-09 20:42:13,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:29:15', 217.0)
2024-06-09 20:42:13,600.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:30:10', 218.6)
2024-06-09 20:42:13,624.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:30:15', 218.6)
2024-06-09 20:42:13,644.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:31:10', 218.5)
2024-06-09 20:42:13,667.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:31:15', 218.5)
2024-06-09 20:42:13,690.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:32:10', 219.4)
2024-06-09 20:42:13,717.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:32:15', 219.4)
2024-06-09 20:42:13,742.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:33:10', 220.5)
2024-06-09 20:42:13,771.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:33:15', 220.5)
2024-06-09 20:42:13,794.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:34:10', 220.7)
2024-06-09 20:42:13,818.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:34:15', 220.7)
2024-06-09 20:42:13,839.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:35:10', 222.5)
2024-06-09 20:42:13,864.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:35:15', 222.5)
2024-06-09 20:42:13,884.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:36:10', 223.0)
2024-06-09 20:42:13,917.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:36:15', 223.0)
2024-06-09 20:42:13,941.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:37:10', 224.7)
2024-06-09 20:42:13,964.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:37:15', 224.7)
2024-06-09 20:42:13,986.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:38:10', 224.2)
2024-06-09 20:42:14,009.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:38:15', 224.2)
2024-06-09 20:42:14,034.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:39:10', 223.6)
2024-06-09 20:42:14,057.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:39:15', 223.6)
2024-06-09 20:42:14,078.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:40:10', 224.6)
2024-06-09 20:42:14,100.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:40:15', 224.6)
2024-06-09 20:42:14,116.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:41:10', 224.3)
2024-06-09 20:42:14,141.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:41:15', 224.3)
2024-06-09 20:42:14,162.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:42:10', 226.6)
2024-06-09 20:42:14,185.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:42:15', 226.6)
2024-06-09 20:42:14,209.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:43:10', 229.0)
2024-06-09 20:42:14,232.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:43:15', 229.0)
2024-06-09 20:42:14,250.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:44:10', 232.8)
2024-06-09 20:42:14,273.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:44:15', 232.8)
2024-06-09 20:42:14,303.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:45:10', 237.9)
2024-06-09 20:42:14,328.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:45:15', 237.9)
2024-06-09 20:42:14,348.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:46:10', 200.2)
2024-06-09 20:42:14,371.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:46:15', 200.2)
2024-06-09 20:42:14,393.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:46:35', 38.7)
2024-06-09 20:42:14,416.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:46:40', 38.7)
2024-06-09 20:42:14,437.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:46:40', 37.0)
2024-06-09 20:42:14,460.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:46:45', 37.0)
2024-06-09 20:42:14,484.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:47:10', 205.9)
2024-06-09 20:42:14,508.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:47:15', 205.9)
2024-06-09 20:42:14,532.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:47:35', 37.1)
2024-06-09 20:42:14,556.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:47:40', 37.1)
2024-06-09 20:42:14,576.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:47:40', 35.3)
2024-06-09 20:42:14,603.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:47:45', 35.3)
2024-06-09 20:42:14,626.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:48:10', 230.0)
2024-06-09 20:42:14,650.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:48:15', 230.0)
2024-06-09 20:42:14,672.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:48:35', 36.9)
2024-06-09 20:42:14,694.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:48:40', 36.9)
2024-06-09 20:42:14,713.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:48:40', 35.2)
2024-06-09 20:42:14,738.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:48:45', 35.2)
2024-06-09 20:42:14,760.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:49:10', 239.6)
2024-06-09 20:42:14,783.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:49:15', 239.6)
2024-06-09 20:42:14,801.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:49:35', 36.9)
2024-06-09 20:42:14,823.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:49:40', 36.9)
2024-06-09 20:42:14,841.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:49:40', 35.3)
2024-06-09 20:42:14,863.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:49:45', 35.3)
2024-06-09 20:42:14,884.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:50:10', 242.4)
2024-06-09 20:42:14,903.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:50:15', 242.4)
2024-06-09 20:42:14,923.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:50:35', 37.2)
2024-06-09 20:42:14,949.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:50:40', 37.2)
2024-06-09 20:42:14,973.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:50:40', 35.2)
2024-06-09 20:42:15,001.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:50:45', 35.2)
2024-06-09 20:42:15,023.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:51:10', 243.1)
2024-06-09 20:42:15,042.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:51:15', 243.1)
2024-06-09 20:42:15,065.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:51:35', 37.5)
2024-06-09 20:42:15,091.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:51:40', 37.5)
2024-06-09 20:42:15,114.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:51:40', 35.2)
2024-06-09 20:42:15,138.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:51:45', 35.2)
2024-06-09 20:42:15,159.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:52:10', 242.6)
2024-06-09 20:42:15,181.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:52:15', 242.6)
2024-06-09 20:42:15,204.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:52:35', 37.9)
2024-06-09 20:42:15,224.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:52:40', 37.9)
2024-06-09 20:42:15,246.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:52:40', 35.6)
2024-06-09 20:42:15,269.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:52:45', 35.6)
2024-06-09 20:42:15,289.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:53:10', 241.7)
2024-06-09 20:42:15,311.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:53:15', 241.7)
2024-06-09 20:42:15,329.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:53:35', 38.4)
2024-06-09 20:42:15,349.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:53:40', 38.4)
2024-06-09 20:42:15,372.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:53:40', 35.7)
2024-06-09 20:42:15,395.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:53:45', 35.7)
2024-06-09 20:42:15,414.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:54:10', 241.4)
2024-06-09 20:42:15,440.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:54:15', 241.4)
2024-06-09 20:42:15,462.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:54:35', 39.1)
2024-06-09 20:42:15,485.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:54:40', 39.1)
2024-06-09 20:42:15,507.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:54:40', 36.0)
2024-06-09 20:42:15,530.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:54:45', 36.0)
2024-06-09 20:42:15,554.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:55:10', 242.1)
2024-06-09 20:42:15,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:55:15', 242.1)
2024-06-09 20:42:15,602.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:55:35', 39.9)
2024-06-09 20:42:15,624.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:55:40', 39.9)
2024-06-09 20:42:15,649.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:55:40', 36.0)
